@relation InstanceResultListener

@attribute Key_Dataset {playerdata}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.clusterers.MakeDensityBasedClusterer,weka.clusterers.EM}
@attribute Key_Scheme_options {'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1','-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"','-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1','-M 1.0E-6 -W weka.clusterers.XMeans -- -I 1 -M 1000 -J 1000 -L 3 -H 3 -B 1.0 -C 0.5 -D \"weka.core.EuclideanDistance -R first-last\" -S 10','-M 1.0E-6 -W weka.clusterers.SimpleKMeans -- -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10','-M 1.0E-6 -W weka.clusterers.Cobweb -- -A 1.0 -C 0.0028209479177387815 -S 42','-I 100 -N 3 -M 1.0E-6 -S 100'}
@attribute Key_Scheme_version_ID {-5643302427972186631,8348181483812829475}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Log_likelihood numeric
@attribute Number_of_clusters numeric
@attribute Time_training numeric
@attribute Time_testing numeric

@data

playerdata,1,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,74,39,-86.151473,3,0.001,0.001
playerdata,2,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-87.520384,3,0.001,0.001
playerdata,3,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,74,39,-84.066512,3,0.001,0.001
playerdata,4,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-84.636118,3,0.001,0.001
playerdata,5,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-89.233375,3,0.002,0.001
playerdata,6,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-85.371626,3,0.001,0.001
playerdata,7,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-85.582192,3,0.001,0.001
playerdata,8,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-86.919172,3,0.001,0.001
playerdata,9,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,75,38,-86.417827,3,0.001,0.001
playerdata,10,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.FarthestFirst -- -N 3 -S 1',-5643302427972186631,20120520.164,74,39,-88.514784,3,0.013,0
playerdata,1,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,74,39,-87.416366,3,0.014,0.003
playerdata,2,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-86.911334,3,0.014,0.002
playerdata,3,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,74,39,-86.118488,3,0.014,0.006
playerdata,4,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-89.401863,3,0.017,0.003
playerdata,5,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-88.071423,3,0.014,0.004
playerdata,6,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-87.006728,3,0.014,0.002
playerdata,7,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-85.967977,3,0.013,0.002
playerdata,8,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-87.309388,3,0.013,0.002
playerdata,9,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,75,38,-86.988101,3,0.015,0.002
playerdata,10,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.HierarchicalClusterer -- -N 3 -L SINGLE -P -A \"weka.core.EuclideanDistance -R first-last\"',-5643302427972186631,20120520.164,74,39,-91.084931,3,0.012,0.002
playerdata,1,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,74,39,-83.240523,3,0.523,0.001
playerdata,2,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-82.049839,3,0.026,0.001
playerdata,3,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,74,39,-82.911418,3,0.025,0.001
playerdata,4,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-87.656354,3,0.022,0.001
playerdata,5,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-82.556687,3,0.031,0
playerdata,6,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-83.692645,3,0.023,0.001
playerdata,7,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-83.459045,3,0.022,0.001
playerdata,8,weka.clusterers.MakeDensityBasedClusterer,'-M 1.0E-6 -W weka.clusterers.sIB -- -I 100 -M 0 -N 3 -R 5 -S 1',-5643302427972186631,20120520.164,75,38,-83.097393,3,0.03,0.006
